split,model,mean_accuracy,max_accuracy,min_accuracy
50-50,Random Forest,0.9583859649122808,0.9859649122807017,0.9263157894736842
50-50,Logistic Regression,0.9498596491228071,0.9754385964912281,0.9192982456140351
50-50,Naive Bayes,0.9389824561403509,0.9614035087719298,0.9122807017543859
50-50,Neural Network,0.9352280701754385,0.9789473684210527,0.887719298245614
50-50,Decision Tree,0.9281754385964912,0.9543859649122807,0.8912280701754386
50-50,Nearest Neighbor,0.924,0.9508771929824561,0.8701754385964913
50-50,SVM,0.9163508771929824,0.9438596491228071,0.8807017543859649
60-40,Random Forest,0.9596052631578948,0.9868421052631579,0.9254385964912281
60-40,Logistic Regression,0.9501315789473683,0.9736842105263158,0.9122807017543859
60-40,Naive Bayes,0.9382894736842106,0.9605263157894737,0.9122807017543859
60-40,Decision Tree,0.9314912280701755,0.9780701754385965,0.8859649122807017
60-40,Neural Network,0.9285964912280701,0.9692982456140351,0.8333333333333334
60-40,Nearest Neighbor,0.9239473684210526,0.956140350877193,0.8903508771929824
60-40,SVM,0.9166228070175438,0.9517543859649122,0.8903508771929824
70-30,Random Forest,0.9606432748538012,0.9883040935672515,0.9181286549707602
70-30,Logistic Regression,0.953391812865497,0.9883040935672515,0.9064327485380117
70-30,Naive Bayes,0.9398245614035088,0.9824561403508771,0.9064327485380117
70-30,Neural Network,0.9360233918128655,0.9883040935672515,0.8947368421052632
70-30,Decision Tree,0.9322807017543859,0.9766081871345029,0.9005847953216374
70-30,Nearest Neighbor,0.9238596491228069,0.9590643274853801,0.8654970760233918
70-30,SVM,0.9183625730994152,0.9590643274853801,0.8830409356725146
80-20,Random Forest,0.9608771929824562,1.0,0.9122807017543859
80-20,Logistic Regression,0.9521929824561403,1.0,0.8859649122807017
80-20,Naive Bayes,0.9393859649122807,0.9824561403508771,0.8859649122807017
80-20,Neural Network,0.9346491228070175,0.9824561403508771,0.868421052631579
80-20,Decision Tree,0.9332456140350877,0.9736842105263158,0.8771929824561403
80-20,Nearest Neighbor,0.9243859649122806,0.9736842105263158,0.8596491228070176
80-20,SVM,0.9212280701754386,0.9736842105263158,0.868421052631579
