split,model,mean_accuracy,max_accuracy,min_accuracy
50-50,Random Forest,0.980456942003515,0.9929701230228472,0.9578207381370826
50-50,Decision Tree,0.9660808435852373,0.9859402460456942,0.9367311072056239
50-50,Logistic Regression,0.9565905096660807,0.9753954305799648,0.9402460456942003
50-50,Neural Network,0.9414235500878735,0.9666080843585237,0.9138840070298769
50-50,Naive Bayes,0.9395430579964851,0.9543057996485061,0.9086115992970123
50-50,Nearest Neighbor,0.9343936731107206,0.9543057996485061,0.9015817223198594
50-50,SVM,0.9190333919156415,0.9349736379613357,0.8980667838312829
60-40,Random Forest,0.9856140350877193,1.0,0.956140350877193
60-40,Decision Tree,0.9728070175438596,0.9912280701754386,0.9473684210526315
60-40,Logistic Regression,0.9575,0.9780701754385965,0.9385964912280702
60-40,Naive Bayes,0.9402192982456141,0.9627192982456141,0.9144736842105263
60-40,Nearest Neighbor,0.9373245614035087,0.9605263157894737,0.9057017543859649
60-40,Neural Network,0.9332456140350877,0.9692982456140351,0.8728070175438597
60-40,SVM,0.9208771929824562,0.9407894736842105,0.8947368421052632
70-30,Random Forest,0.9885380116959064,1.0,0.9649122807017544
70-30,Decision Tree,0.9793567251461988,1.0,0.9473684210526315
70-30,Logistic Regression,0.9576608187134502,0.97953216374269,0.9298245614035088
70-30,Neural Network,0.9408771929824562,0.9766081871345029,0.8947368421052632
70-30,Naive Bayes,0.9399707602339181,0.9678362573099415,0.9093567251461988
70-30,Nearest Neighbor,0.9399707602339181,0.9619883040935673,0.9093567251461988
70-30,SVM,0.9219883040935674,0.9473684210526315,0.8976608187134503
80-20,Random Forest,0.9916228070175438,1.0,0.9473684210526315
80-20,Decision Tree,0.9853508771929824,1.0,0.9473684210526315
80-20,Logistic Regression,0.9571052631578948,0.9824561403508771,0.9254385964912281
80-20,Nearest Neighbor,0.9444736842105264,0.9736842105263158,0.9035087719298246
80-20,Naive Bayes,0.940219298245614,0.9649122807017544,0.8859649122807017
80-20,Neural Network,0.9391666666666667,0.9824561403508771,0.8333333333333334
80-20,SVM,0.9228070175438596,0.956140350877193,0.8771929824561403
