split,model,mean_accuracy_leaky,max_accuracy_leaky,min_accuracy_leaky,mean_accuracy_correct,max_accuracy_correct,min_accuracy_correct
50-50,Random Forest,0.980456942003515,0.9929701230228472,0.9578207381370826,0.9583859649122808,0.9859649122807016,0.9263157894736842
50-50,Decision Tree,0.9660808435852372,0.9859402460456942,0.936731107205624,0.9281754385964912,0.9543859649122808,0.8912280701754386
50-50,Logistic Regression,0.9565905096660808,0.9753954305799648,0.9402460456942004,0.9498596491228072,0.975438596491228,0.9192982456140352
50-50,Neural Network,0.9414235500878736,0.9666080843585236,0.9138840070298768,0.9352280701754384,0.9789473684210528,0.887719298245614
50-50,Naive Bayes,0.9395430579964852,0.954305799648506,0.9086115992970124,0.9389824561403508,0.9614035087719298,0.912280701754386
50-50,Nearest Neighbor,0.9343936731107206,0.954305799648506,0.9015817223198594,0.924,0.950877192982456,0.8701754385964913
50-50,SVM,0.9190333919156416,0.9349736379613356,0.8980667838312829,0.9163508771929824,0.9438596491228072,0.8807017543859649
60-40,Random Forest,0.9856140350877192,1.0,0.956140350877193,0.9596052631578948,0.986842105263158,0.925438596491228
60-40,Decision Tree,0.9728070175438596,0.9912280701754386,0.9473684210526316,0.9314912280701756,0.9780701754385964,0.8859649122807017
60-40,Logistic Regression,0.9575,0.9780701754385964,0.9385964912280702,0.9501315789473684,0.9736842105263158,0.912280701754386
60-40,Naive Bayes,0.940219298245614,0.962719298245614,0.9144736842105264,0.9382894736842106,0.9605263157894736,0.912280701754386
60-40,Nearest Neighbor,0.9373245614035088,0.9605263157894736,0.9057017543859648,0.9239473684210526,0.956140350877193,0.8903508771929824
60-40,Neural Network,0.9332456140350875,0.9692982456140352,0.8728070175438597,0.92859649122807,0.9692982456140352,0.8333333333333334
60-40,SVM,0.9208771929824562,0.9407894736842104,0.8947368421052632,0.9166228070175438,0.9517543859649122,0.8903508771929824
70-30,Random Forest,0.9885380116959064,1.0,0.9649122807017544,0.9606432748538012,0.9883040935672516,0.9181286549707602
70-30,Decision Tree,0.9793567251461988,1.0,0.9473684210526316,0.932280701754386,0.9766081871345028,0.9005847953216374
70-30,Logistic Regression,0.9576608187134502,0.97953216374269,0.9298245614035088,0.953391812865497,0.9883040935672516,0.9064327485380116
70-30,Neural Network,0.9408771929824562,0.9766081871345028,0.8947368421052632,0.9360233918128656,0.9883040935672516,0.8947368421052632
70-30,Naive Bayes,0.939970760233918,0.9678362573099416,0.9093567251461988,0.9398245614035088,0.9824561403508772,0.9064327485380116
70-30,Nearest Neighbor,0.939970760233918,0.9619883040935672,0.9093567251461988,0.9238596491228068,0.95906432748538,0.8654970760233918
70-30,SVM,0.9219883040935674,0.9473684210526316,0.8976608187134503,0.9183625730994152,0.95906432748538,0.8830409356725146
80-20,Random Forest,0.9916228070175438,1.0,0.9473684210526316,0.9608771929824562,1.0,0.912280701754386
80-20,Decision Tree,0.9853508771929824,1.0,0.9473684210526316,0.9332456140350875,0.9736842105263158,0.8771929824561403
80-20,Logistic Regression,0.9571052631578948,0.9824561403508772,0.925438596491228,0.9521929824561404,1.0,0.8859649122807017
80-20,Nearest Neighbor,0.9444736842105264,0.9736842105263158,0.9035087719298246,0.9243859649122806,0.9736842105263158,0.8596491228070176
80-20,Naive Bayes,0.940219298245614,0.9649122807017544,0.8859649122807017,0.9393859649122808,0.9824561403508772,0.8859649122807017
80-20,Neural Network,0.9391666666666668,0.9824561403508772,0.8333333333333334,0.9346491228070176,0.9824561403508772,0.868421052631579
80-20,SVM,0.9228070175438596,0.956140350877193,0.8771929824561403,0.9212280701754386,0.9736842105263158,0.868421052631579
